year,state_orig,state_dest,sctg2,sctg2_description,value
2017,AL,WY,7,Other prepared foodstuffs and preparations,0.70
2012,AR,AK,7,Other prepared foodstuffs and preparations,1.46
2017,AR,AK,7,Other prepared foodstuffs and preparations,1.47
2012,AR,AL,3,"Agricultural products (excl. feed, grains, and forage)",4.49
2017,AR,AL,3,"Agricultural products (excl. feed, grains, and forage)",5.31
2012,AR,AL,4,"Animal feed, eggs, honey, other products of animal origin",23.77
2017,AR,AL,4,"Animal feed, eggs, honey, other products of animal origin",26.15
2012,AR,AL,5,"Meat, poultry, fish, seafood, and preparations",109.37
2017,AR,AL,5,"Meat, poultry, fish, seafood, and preparations",115.91
2012,AR,AL,6,Milled grain products and preparations and bakery products,81.12
2017,AR,AL,6,Milled grain products and preparations and bakery products,81.89
2012,AR,AL,7,Other prepared foodstuffs and preparations,1.46
2017,AR,AL,7,Other prepared foodstuffs and preparations,1.47
2012,AR,AZ,5,"Meat, poultry, fish, seafood, and preparations",246.97
2017,AR,AZ,5,"Meat, poultry, fish, seafood, and preparations",261.74
2012,AR,AZ,7,Other prepared foodstuffs and preparations,28.32
2017,AR,AZ,7,Other prepared foodstuffs and preparations,28.51
2012,AR,CA,2,Cereal grains and seed,41.25
2017,AR,CA,2,Cereal grains and seed,34.03
2012,AR,CA,5,"Meat, poultry, fish, seafood, and preparations",473.27
2017,AR,CA,5,"Meat, poultry, fish, seafood, and preparations",501.57
2012,AR,CA,6,Milled grain products and preparations and bakery products,15.72
2017,AR,CA,6,Milled grain products and preparations and bakery products,15.87
2012,AR,CA,7,Other prepared foodstuffs and preparations,368.94
2017,AR,CA,7,Other prepared foodstuffs and preparations,371.41
2012,AR,CO,5,"Meat, poultry, fish, seafood, and preparations",106.14
2017,AR,CO,5,"Meat, poultry, fish, seafood, and preparations",112.49
2012,AR,CO,7,Other prepared foodstuffs and preparations,54.18
2017,AR,CO,7,Other prepared foodstuffs and preparations,54.54
2012,AR,CT,3,"Agricultural products (excl. feed, grains, and forage)",4.97
2017,AR,CT,3,"Agricultural products (excl. feed, grains, and forage)",5.88
2012,AR,CT,7,Other prepared foodstuffs and preparations,0.30
2017,AR,CT,7,Other prepared foodstuffs and preparations,0.30
2012,AR,FL,5,"Meat, poultry, fish, seafood, and preparations",227.51
2017,AR,FL,5,"Meat, poultry, fish, seafood, and preparations",241.12
2012,AR,FL,6,Milled grain products and preparations and bakery products,0.50
2017,AR,FL,6,Milled grain products and preparations and bakery products,0.50
2012,AR,FL,7,Other prepared foodstuffs and preparations,105.51
2017,AR,FL,7,Other prepared foodstuffs and preparations,106.21
2012,AR,GA,3,"Agricultural products (excl. feed, grains, and forage)",0.00
2017,AR,GA,3,"Agricultural products (excl. feed, grains, and forage)",0.00
2012,AR,GA,4,"Animal feed, eggs, honey, other products of animal origin",73.86
2017,AR,GA,4,"Animal feed, eggs, honey, other products of animal origin",81.26
2012,AR,GA,5,"Meat, poultry, fish, seafood, and preparations",142.00
2017,AR,GA,5,"Meat, poultry, fish, seafood, and preparations",150.49
2012,AR,GA,6,Milled grain products and preparations and bakery products,22.09
2017,AR,GA,6,Milled grain products and preparations and bakery products,22.30
2012,AR,GA,7,Other prepared foodstuffs and preparations,221.29
2017,AR,GA,7,Other prepared foodstuffs and preparations,222.77
2012,AR,HI,7,Other prepared foodstuffs and preparations,0.09
2017,AR,HI,7,Other prepared foodstuffs and preparations,0.09
2012,AR,IA,3,"Agricultural products (excl. feed, grains, and forage)",12.00
2017,AR,IA,3,"Agricultural products (excl. feed, grains, and forage)",14.19
2012,AR,IA,5,"Meat, poultry, fish, seafood, and preparations",115.40
2017,AR,IA,5,"Meat, poultry, fish, seafood, and preparations",122.30
2012,AR,IA,7,Other prepared foodstuffs and preparations,1.01
2017,AR,IA,7,Other prepared foodstuffs and preparations,1.01
2012,AR,ID,7,Other prepared foodstuffs and preparations,6.14
2017,AR,ID,7,Other prepared foodstuffs and preparations,6.18
2012,AR,IL,2,Cereal grains and seed,24.58
2017,AR,IL,2,Cereal grains and seed,20.28
2012,AR,IL,3,"Agricultural products (excl. feed, grains, and forage)",27.72
2017,AR,IL,3,"Agricultural products (excl. feed, grains, and forage)",32.77
2012,AR,IL,5,"Meat, poultry, fish, seafood, and preparations",116.04
2017,AR,IL,5,"Meat, poultry, fish, seafood, and preparations",122.98
2012,AR,IL,6,Milled grain products and preparations and bakery products,46.24
2017,AR,IL,6,Milled grain products and preparations and bakery products,46.67
2012,AR,IL,7,Other prepared foodstuffs and preparations,484.26
2017,AR,IL,7,Other prepared foodstuffs and preparations,487.50
2012,AR,IN,5,"Meat, poultry, fish, seafood, and preparations",98.86
2017,AR,IN,5,"Meat, poultry, fish, seafood, and preparations",104.77
2012,AR,IN,6,Milled grain products and preparations and bakery products,9.00
2017,AR,IN,6,Milled grain products and preparations and bakery products,9.08
2012,AR,IN,7,Other prepared foodstuffs and preparations,57.99
2017,AR,IN,7,Other prepared foodstuffs and preparations,58.38
2012,AR,KS,1,Animals & fish (live),9.55
2017,AR,KS,1,Animals & fish (live),11.75
2012,AR,KS,2,Cereal grains and seed,11.44
2017,AR,KS,2,Cereal grains and seed,9.44
2012,AR,KS,3,"Agricultural products (excl. feed, grains, and forage)",49.59
2017,AR,KS,3,"Agricultural products (excl. feed, grains, and forage)",58.62
2012,AR,KS,4,"Animal feed, eggs, honey, other products of animal origin",8.18
2017,AR,KS,4,"Animal feed, eggs, honey, other products of animal origin",9.00
2012,AR,KS,5,"Meat, poultry, fish, seafood, and preparations",211.00
2017,AR,KS,5,"Meat, poultry, fish, seafood, and preparations",223.62
2012,AR,KS,6,Milled grain products and preparations and bakery products,0.78
2017,AR,KS,6,Milled grain products and preparations and bakery products,0.79
2012,AR,KS,7,Other prepared foodstuffs and preparations,66.72
2017,AR,KS,7,Other prepared foodstuffs and preparations,67.17
2012,AR,KY,5,"Meat, poultry, fish, seafood, and preparations",160.78
2017,AR,KY,5,"Meat, poultry, fish, seafood, and preparations",170.40
2012,AR,KY,6,Milled grain products and preparations and bakery products,0.85
2017,AR,KY,6,Milled grain products and preparations and bakery products,0.86
2012,AR,KY,7,Other prepared foodstuffs and preparations,1.18
2017,AR,KY,7,Other prepared foodstuffs and preparations,1.19
2012,AR,LA,1,Animals & fish (live),18.24
2017,AR,LA,1,Animals & fish (live),22.46
2012,AR,LA,2,Cereal grains and seed,72.76
2017,AR,LA,2,Cereal grains and seed,60.02
2012,AR,LA,3,"Agricultural products (excl. feed, grains, and forage)",98.31
2017,AR,LA,3,"Agricultural products (excl. feed, grains, and forage)",116.22
2012,AR,LA,4,"Animal feed, eggs, honey, other products of animal origin",2.92
2017,AR,LA,4,"Animal feed, eggs, honey, other products of animal origin",3.22
2012,AR,LA,5,"Meat, poultry, fish, seafood, and preparations",151.01
2017,AR,LA,5,"Meat, poultry, fish, seafood, and preparations",160.04
2012,AR,LA,6,Milled grain products and preparations and bakery products,1.33
2017,AR,LA,6,Milled grain products and preparations and bakery products,1.34
2012,AR,LA,7,Other prepared foodstuffs and preparations,29.80
2017,AR,LA,7,Other prepared foodstuffs and preparations,30.00
2012,AR,MA,5,"Meat, poultry, fish, seafood, and preparations",122.00
2017,AR,MA,5,"Meat, poultry, fish, seafood, and preparations",129.29
2012,AR,MA,7,Other prepared foodstuffs and preparations,13.00
2017,AR,MA,7,Other prepared foodstuffs and preparations,13.09
2012,AR,MD,5,"Meat, poultry, fish, seafood, and preparations",24.37
2017,AR,MD,5,"Meat, poultry, fish, seafood, and preparations",25.83
2012,AR,MD,7,Other prepared foodstuffs and preparations,62.23
2017,AR,MD,7,Other prepared foodstuffs and preparations,62.64
2012,AR,ME,5,"Meat, poultry, fish, seafood, and preparations",59.49
2017,AR,ME,5,"Meat, poultry, fish, seafood, and preparations",63.04
2012,AR,ME,7,Other prepared foodstuffs and preparations,0.29
2017,AR,ME,7,Other prepared foodstuffs and preparations,0.29
2012,AR,MI,5,"Meat, poultry, fish, seafood, and preparations",17.55
2017,AR,MI,5,"Meat, poultry, fish, seafood, and preparations",18.59
2012,AR,MI,6,Milled grain products and preparations and bakery products,2.30
2017,AR,MI,6,Milled grain products and preparations and bakery products,2.32
2012,AR,MI,7,Other prepared foodstuffs and preparations,12.33
2017,AR,MI,7,Other prepared foodstuffs and preparations,12.41
2012,AR,MN,5,"Meat, poultry, fish, seafood, and preparations",162.91
2017,AR,MN,5,"Meat, poultry, fish, seafood, and preparations",172.65
2012,AR,MN,7,Other prepared foodstuffs and preparations,35.31
2017,AR,MN,7,Other prepared foodstuffs and preparations,35.55
2012,AR,MO,1,Animals & fish (live),14.06
2017,AR,MO,1,Animals & fish (live),17.31
2012,AR,MO,2,Cereal grains and seed,33.74
2017,AR,MO,2,Cereal grains and seed,27.84
2012,AR,MO,3,"Agricultural products (excl. feed, grains, and forage)",585.75
2017,AR,MO,3,"Agricultural products (excl. feed, grains, and forage)",692.42
2012,AR,MO,4,"Animal feed, eggs, honey, other products of animal origin",5.66
2017,AR,MO,4,"Animal feed, eggs, honey, other products of animal origin",6.23
